"","Ridge_corr","EN_corr"
"1",0.382461895281048,0.443608909193615
"2",0.460078800860233,0.48220123550115
"3",0.383210262279643,0.450485409830717
"4",0.392337616000877,0.445340566174427
"5",0.410000562563908,0.489468934051286
"6",0.406768136781293,0.456198029637376
"7",0.464658815010836,0.518889295431974
"8",0.39707257012787,0.47252695325982
"9",0.461950610788023,0.52334248199482
"10",0.139801545420198,0.21059207312701
"11",0.143181205040002,0.239089021243097
"12",0.346358746909151,0.409844346766623
"13",0.0342822783814802,0.178279443869621
"14",0.214017372558399,0.242757589448448
"15",0.402123457780581,0.451010763635893
"16",0.0599315903412376,0.0453574018533758
"17",0.188517192359486,0.322960215900307
"18",0.408395329371423,0.464035520316559
"19",0.186306622426303,0.352686336319177
"20",0.00152036670069676,NA
